Destination,Dates,Price,Group,Period,Status,Regio
San Francisco,"['28.08.2023', '13.09.2023']",448,sommerferien,2023-08,2023-01-28,USA West
Toronto,"['21.08.2023', '09.09.2023']",458,sommerferien,2023-08,2023-01-28,Canada
Houston,"['10.08.2023', '07.09.2023']",464,sommerferien,2023-08,2023-01-28,USA
San Jose,"['26.08.2023', '11.09.2023']",465,sommerferien,2023-08,2023-01-28,USA West
Male,"['21.08.2023', '13.09.2023']",571,sommerferien,2023-08,2023-01-28,MENA
Colombo,"['15.08.2023', '13.09.2023']",590,sommerferien,2023-08,2023-01-28,Asia
San Jose Costa Rica,"['22.08.2023', '09.09.2023']",618,sommerferien,2023-08,2023-01-28,Karibik
Guadalajara,"['19.08.2023', '11.09.2023']",629,sommerferien,2023-08,2023-01-28,
Bangkok,"['21.08.2023', '11.09.2023']",632,sommerferien,2023-08,2023-01-28,Asia
Bali,"['04.09.2023', '14.09.2023']",707,sommerferien,2023-09,2023-01-28,Asia
Lima,"['20.08.2023', '03.09.2023']",713,sommerferien,2023-08,2023-01-28,Karibik
Zagreb,"['05.02.2023', '10.02.2023']",21,last-minute,2023-02,2023-01-28,Europe
Riga,"['06.02.2023', '10.02.2023']",29,last-minute,2023-02,2023-01-28,Europe
Catania,"['07.02.2023', '14.02.2023']",41,last-minute,2023-02,2023-01-28,Europe Italy
Granada,"['09.02.2023', '12.02.2023']",141,last-minute,2023-02,2023-01-28,
Funchal,"['31.01.2023', '14.02.2023']",142,last-minute,2023-01,2023-01-28,Europe Spain
Teneriffa Süd,"['03.02.2023', '06.02.2023']",142,last-minute,2023-02,2023-01-28,Europe Spain
Göteborg,"['10.02.2023', '13.02.2023']",143,last-minute,2023-02,2023-01-28,
Marrakesch,"['09.02.2023', '17.02.2023']",147,last-minute,2023-02,2023-01-28,Africa
Santander,"['04.02.2023', '08.02.2023']",147,last-minute,2023-02,2023-01-28,Europe Spain
Athen,"['01.02.2023', '08.02.2023']",148,last-minute,2023-02,2023-01-28,Europe
Dalaman,"['29.01.2023', '02.02.2023']",149,last-minute,2023-01,2023-01-28,MENA
Riyadh,"['01.02.2023', '15.02.2023']",224,last-minute,2023-02,2023-01-28,MENA
Abu Dhabi,"['31.01.2023', '08.02.2023']",320,last-minute,2023-01,2023-01-28,MENA
Doha,"['31.01.2023', '14.02.2023']",362,last-minute,2023-01,2023-01-28,MENA
Zagreb,"['05.03.2023', '24.03.2023']",15,staedtereisen,2023-03,2023-01-28,Europe
Riga,"['13.03.2023', '17.03.2023']",29,staedtereisen,2023-03,2023-01-28,Europe
Palermo,"['05.03.2023', '17.03.2023']",32,staedtereisen,2023-03,2023-01-28,Europe Italy
